Blocos de texto - Marcelo Rodrigues Ribeiro
loc,text
intro,"Analista de Dados com mais de 15 anos de experiência em análise estatística e ciência de dados. Graduado em Estatística pela UFMG e Pós-graduado em Ciência de Dados e Big Data pela PUC Minas. Atualmente cursando Pós-graduação em Inteligência Artificial e Aprendizado de Máquina pela PUC Minas."
industy_experience_aside,"Habilidades técnicas: \- Machine Learning \- Análises Estatísticas \- Business Intelligence \- SAS \- Excel Avançado"
teaching_experience_aside,Cursos de pequena duração para atualização de práticas e utilização de novas ferramentas.
